lat,lon,yyyy,obs,pred_av,pred_cc,pred_cm,pred_me,pred_js,pred_rk,pred_gs,state,ref_id,fold
33.48378,-112.14256,2010,8.371074,10.049999872843424,8.01793279507603,9.55866301369863,11.326836505001538,8.045629374755665,13.75688814658385,9.658534008085846,AZ,04-013-0019,7
33.48378,-112.14256,2011,10.261864,11.849999904632568,9.52971654237288,9.609054794520548,12.870403483142592,11.158779177115218,12.678923837103689,9.666023188170396,AZ,04-013-0019,7
33.48378,-112.14256,2012,12.21746,12.049999952316284,10.0483491555556,9.320765027322404,13.49722864197903,10.372420313796306,12.109930329780056,10.081815882631052,AZ,04-013-0019,7
33.48378,-112.14256,2013,10.173276,10.94166668256124,9.12794974148802,7.954556164383562,11.873121967707595,9.989120765901422,10.89937634061981,9.943559446312426,AZ,04-013-0019,7
33.48378,-112.14256,2014,9.881667,11.53333350022634,8.71051334915254,9.54962191780822,11.4194997140806,9.813015971754997,12.046775730101617,9.977804292678517,AZ,04-013-0019,7
33.410180000000004,-111.86536,2010,6.27,8.725000063578287,7.70975519386835,8.80921095890411,11.326836505001538,7.011009981370325,12.98684793645209,6.718083291635488,AZ,04-013-1003,8
33.410180000000004,-111.86536,2011,8.903361,9.866666714350382,9.06455866341464,8.91849589041096,12.870403483142592,9.044058180590254,12.190916967260968,6.721982503126448,AZ,04-013-1003,8
33.40314,-112.07526,2010,9.252893,9.491666674613953,8.44444955815135,9.31854794520548,11.326836505001538,8.48211252478703,12.515312138494554,9.247183423760344,AZ,04-013-4003,1
33.40314,-112.07526,2011,11.425641,10.991666634877523,10.1753600352113,9.512786301369864,12.870403483142592,9.5190686116381,11.589106620995553,9.25060292071941,AZ,04-013-4003,1
33.488131,-111.855443,2010,5.411864,8.775000015894571,5.53995702219041,8.6216,11.326836505001538,6.454116021938682,10.600516612713154,6.718083291635488,AZ,04-013-7020,8
33.488131,-111.855443,2011,5.003448,10.21666677792867,7.46062675017895,8.591493150684931,12.870403483142592,6.946360902864319,10.146744453645017,6.721982503126448,AZ,04-013-7020,8
33.488131,-111.855443,2013,5.270492,9.183333277702332,6.11278787912088,7.301567123287671,11.873121967707595,6.066930865513617,9.76518498672234,6.9179275810147605,AZ,04-013-7020,8
33.488131,-111.855443,2014,5.363934,10.28333326180776,6.08145350035791,8.658186301369863,11.4194997140806,6.398323035635639,10.738713858546792,6.955303900589165,AZ,04-013-7020,8
33.488131,-111.855443,2015,4.661702,8.766666611035665,4.18849548918641,7.3945630136986304,12.285812678402417,6.4870005244291535,10.248446852296263,7.6389518007560735,AZ,04-013-7020,8
32.67618,-115.48307,2010,12.866071,13.975000063578287,9.66228265551048,8.943605479452055,15.366882227544917,16.757261900308816,9.450210761892926,8.038456132640482,CA,06-025-0005,2
